SPRINT NO,ISSUEID,ISSUE TYPE,STATE,RELATES TO,ESTIMATED TIME,START DATE,END DATE,COMPLETE DATE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
,EG-67,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-68,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-69,Bug,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
Sprint 6,,,CLOSED,,,15/Jun/15 1:54 AM,03/Jul/15 11:54 PM,28/Jul/15 2:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-32,Story,,,18Hours,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-33,Story,,,6Hours,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-34,Story,,,36Hours,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7",,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-37,Sub-task,,EG-34,6Hours,,,,,"Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10603
ToString:None",,"Field:resolution
FromString:None
ToString:Done",,,,,,,"Field:timeestimate
FromString:21600
ToString:0 
 Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10916
ToString:None",,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-35,Story,,,18Hours,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7","Field:timeestimate
FromString:64800
ToString:43200 
 Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10915
ToString:None",,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-36,Story,,,24Hours,,,,"Field:Rank
FromString:
ToString:Ranked higher","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Link
FromString:None
ToString:This issue relates to EG-38",,,,"Field:Link
FromString:None
ToString:This issue relates to EG-38","Field:Workflow
FromString:AMD Agile Workflow
ToString:DSE QA Workflow org","Field:Sprint
FromString:None
ToString:Sprint 7","Field:timeestimate
FromString:64800
ToString:43200 
 Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10915
ToString:None",,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
